yorum,aspect,gercek_sentiment,tahmin_sentiment
herşey çok sorunsuz elime ulaştı paketlemesi çok iyiydi herhangi bir sorun yoktu satıcıya teşekkür ederiz,kargo,pozitif,pozitif
herşey çok sorunsuz elime ulaştı paketlemesi çok iyiydi herhangi bir sorun yoktu satıcıya teşekkür ederiz,ambalaj,pozitif,pozitif
Sorunsuz bir şekilde elime ulaştı.Çok güzel ve kullanışlı bir bilgisayar .Ders için aldığımdan şarjı bir hafta gidiyor .Almanızı tavsiye ederim,kargo,pozitif,pozitif
Sorunsuz bir şekilde elime ulaştı.Çok güzel ve kullanışlı bir bilgisayar .Ders için aldığımdan şarjı bir hafta gidiyor .Almanızı tavsiye ederim,batarya,pozitif,pozitif
Sorunsuz bir şekilde elime ulaştı.Çok güzel ve kullanışlı bir bilgisayar .Ders için aldığımdan şarjı bir hafta gidiyor .Almanızı tavsiye ederim,genel,pozitif,pozitif
Eşim işleri için aldı çok güzel memnun,genel,pozitif,pozitif
"Arkadaşlar cidden çok güzel, rengi konusunda silver ile arasında kalmıştım ama iyi ki bu rengi seçmişim",genel,pozitif,pozitif
güzel ve sorunsuz. Tavsiye ederim.,genel,pozitif,pozitif
Uzun süre Pro kullandım çok memnundum MacBook ömürlük bilgisayar ve sorunsuz teslim aldım,kargo,pozitif,pozitif
Uzun süre Pro kullandım çok memnundum MacBook ömürlük bilgisayar ve sorunsuz teslim aldım,fiyat,yok,pozitif
Uzun süre Pro kullandım çok memnundum MacBook ömürlük bilgisayar ve sorunsuz teslim aldım,genel,pozitif,yok
Üründen aşırı derecede memnunum şarjı çok uzun süre gidiyor ayrıca çok konforlu taşıması çok kolay,kargo,yok,pozitif
Üründen aşırı derecede memnunum şarjı çok uzun süre gidiyor ayrıca çok konforlu taşıması çok kolay,batarya,pozitif,pozitif
Üründen aşırı derecede memnunum şarjı çok uzun süre gidiyor ayrıca çok konforlu taşıması çok kolay,genel,pozitif,yok
Kardeşime almıştım . Yüksek lisans öğrencisi . Beğendi . Sorun çıkmadı . Teşekkürler . Ekonomik durumu kısıtlı olanlar hala bu modeli düşünebilir . Bence çok gü,fiyat,yok,notr
Kardeşime almıştım . Yüksek lisans öğrencisi . Beğendi . Sorun çıkmadı . Teşekkürler . Ekonomik durumu kısıtlı olanlar hala bu modeli düşünebilir . Bence çok gü,genel,pozitif,yok
Mükemmel bir şey okul için kullanacağım,genel,pozitif,pozitif
Mükemmel görselin aynısı paket leme çok iyi,ambalaj,pozitif,pozitif
Mükemmel görselin aynısı paket leme çok iyi,genel,pozitif,yok
cok güzel kardeşime hediye aldım çok mutlu oldu,fiyat,yok,pozitif
cok güzel kardeşime hediye aldım çok mutlu oldu,genel,pozitif,yok
Çok kibar çok güzel ürün. Yazılım öğrencisi olarak almak istedim...,genel,pozitif,pozitif
Tam istediğim gibi geldi herkese tavsiye ediyorum,kargo,yok,pozitif
Tam istediğim gibi geldi herkese tavsiye ediyorum,genel,pozitif,yok
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,kalite,pozitif,pozitif
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,fiyat,yok,pozitif
Kızıma aldım çok beğendi kalite her zaman farkettiriyor,genel,pozitif,yok
"çok beğendim, kesinlikle tavsiye ederim. şimdilik bir sorun yok gibi geldi çok teşekkür ederim :)",kargo,yok,pozitif
"çok beğendim, kesinlikle tavsiye ederim. şimdilik bir sorun yok gibi geldi çok teşekkür ederim :)",genel,pozitif,pozitif
Ürün elime sorunsuz ulaştı satıcı trendyol olarak aldım hiç bir sorun yoktu 4 aydır kullanıyorum memnunum,kargo,pozitif,pozitif
Ürün elime sorunsuz ulaştı satıcı trendyol olarak aldım hiç bir sorun yoktu 4 aydır kullanıyorum memnunum,fiyat,yok,pozitif
Ürün elime sorunsuz ulaştı satıcı trendyol olarak aldım hiç bir sorun yoktu 4 aydır kullanıyorum memnunum,genel,pozitif,yok
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,fiyat,yok,notr
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,ambalaj,pozitif,pozitif
Paketlemesi çok güzeldi. Hiçbir zarar görmemiş. Okul için aldım. Çok güzel.,genel,pozitif,yok
Fiyat performansı memnunum şarjı harika,fiyat,pozitif,pozitif
Fiyat performansı memnunum şarjı harika,batarya,pozitif,pozitif
"Çok beğendik ve memnun kaldık inceliği, rengi çok iyi",genel,pozitif,pozitif
Çok hızlı ve sorunsuz bir şekilde elime ulaştı teşekkür ederim,kargo,pozitif,pozitif
Çok güzel okul işi için aldım,fiyat,yok,pozitif
Çok güzel okul işi için aldım,genel,pozitif,yok
aylardır kullanıyorum şarjı hızlı dolup yavaş bitiyor bilişimci kadar bilemem özelliklerini ama öğrenciler için birebirr,batarya,pozitif,negatif
aylardır kullanıyorum şarjı hızlı dolup yavaş bitiyor bilişimci kadar bilemem özelliklerini ama öğrenciler için birebirr,genel,pozitif,yok
Çok kullanışlı ve benim için yeterli bi bilgisayar okul için ideal ama iş için bilemiyorum,genel,pozitif,notr
ürün gayet güzel ve kullanışlı severek kullanıyorum,genel,pozitif,pozitif
Bu kadar para vererek iyi mi yaptım bilmiyorum ama zaten ihtiyacım vardı...,fiyat,yok,negatif
Bu kadar para vererek iyi mi yaptım bilmiyorum ama zaten ihtiyacım vardı...,genel,pozitif,yok
Sapasağlam sorunsuz hızlı ve güvenli şekilde elime ulaştı çok teşekkürler,kargo,pozitif,pozitif
kızım için aldım. Çok memnun,fiyat,yok,notr
kızım için aldım. Çok memnun,genel,pozitif,yok
Çok memnunuz sorunsuz,genel,pozitif,pozitif
çok hızlı bir şekilde elime ulaştı çok memnunum,kargo,pozitif,pozitif
çok hızlı bir şekilde elime ulaştı çok memnunum,genel,pozitif,yok
Araştırarak aldım.Kullanış açısından telefonumla uyumu açısından kolaylık sağlayacağını düşündüğüm için tercih ettim.,fiyat,yok,notr
Araştırarak aldım.Kullanış açısından telefonumla uyumu açısından kolaylık sağlayacağını düşündüğüm için tercih ettim.,genel,notr,notr
Bu gün siparişim elime ulaştı. çok memnun kaldım. teşekkür ediyorum.,kargo,pozitif,pozitif
Bu gün siparişim elime ulaştı. çok memnun kaldım. teşekkür ediyorum.,fiyat,yok,pozitif
Bu gün siparişim elime ulaştı. çok memnun kaldım. teşekkür ediyorum.,genel,pozitif,yok
Gerçekten çok kullanışlı tasarımına falan bayıldım,genel,pozitif,pozitif
çok hziki geldi çok güzel herkese tavsiye ederim,kargo,pozitif,pozitif
çok hziki geldi çok güzel herkese tavsiye ederim,genel,pozitif,yok
Mükemmel ürün efsane hızlı bir kargo 10 saat icinde elimdeydi,kargo,pozitif,pozitif
Mükemmel ürün efsane hızlı bir kargo 10 saat icinde elimdeydi,genel,pozitif,yok
Çok teşekkürler çok beğendim çok memnun kaldım,fiyat,yok,pozitif
Çok teşekkürler çok beğendim çok memnun kaldım,genel,pozitif,yok
Günlük işlerim için dijital marketing için aldım gayet güzel satıcı da iyi,fiyat,yok,pozitif
Günlük işlerim için dijital marketing için aldım gayet güzel satıcı da iyi,genel,pozitif,yok
"Çok hızlı ulaşdı elime, acelem var oldugunu söyledim hemen gönderdiler sagolsun...",kargo,pozitif,yok
"Çok hızlı ulaşdı elime, acelem var oldugunu söyledim hemen gönderdiler sagolsun...",genel,pozitif,pozitif
ürünü sorgulattım orijinal ürün. Sorunsuz ve çok hızlı geldi teşekkürleerr,kargo,pozitif,pozitif
ürünü sorgulattım orijinal ürün. Sorunsuz ve çok hızlı geldi teşekkürleerr,genel,pozitif,pozitif
Çok beğendim sorunsuz teslim edildi👍🏻,kargo,pozitif,pozitif
Çok beğendim sorunsuz teslim edildi👍🏻,genel,pozitif,yok
harika sorunsuz ulaştı,kargo,pozitif,pozitif
harika sorunsuz ulaştı,genel,pozitif,yok
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,kargo,pozitif,pozitif
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,fiyat,yok,pozitif
çok memnun kaldım kargo cok hızlıydı sapasağlam geldi,genel,pozitif,yok
Çok güzel cihaz memnunum normalden uygun fiyata aldım,fiyat,pozitif,pozitif
Çok güzel cihaz memnunum normalden uygun fiyata aldım,genel,pozitif,yok
Çok hızlı geldi çok memnunum,kargo,pozitif,pozitif
Çok hızlı geldi çok memnunum,genel,pozitif,yok
her zamanki gibi troy kalitesi çok teşekkür ediyorum,kalite,pozitif,pozitif
Hafifliği inceliği ve taşınabilir olması sebebiyle MacBook’a geçiş yaptım gayet memnunum,genel,pozitif,pozitif
Bir günde elime ulaştı işletim sistemi ideal ve çok işlevsel bir kullanım aramayanlara yeterli.,kargo,pozitif,pozitif
Bir günde elime ulaştı işletim sistemi ideal ve çok işlevsel bir kullanım aramayanlara yeterli.,genel,pozitif,yok
kizim için aldım çok memnun,fiyat,yok,pozitif
kizim için aldım çok memnun,genel,pozitif,yok
çok güzel iyi ki almışım dediğim şeylerden biri deprem bölgesinde olmama rağmen 24 saat geçmeden elime ulaştı teşekkürlerr🫶🏻,kargo,pozitif,pozitif
çok güzel iyi ki almışım dediğim şeylerden biri deprem bölgesinde olmama rağmen 24 saat geçmeden elime ulaştı teşekkürlerr🫶🏻,genel,pozitif,yok
Çok seviyorum ürünü çok memnunum,genel,pozitif,pozitif
"Ürünü 1 aydır kullanıyorum, genel olarak Apple kalitesi belli oluyor. Ekran çözünürlüğü çok kaliteli...",kalite,pozitif,pozitif
"Ürünü 1 aydır kullanıyorum, genel olarak Apple kalitesi belli oluyor. Ekran çözünürlüğü çok kaliteli...",ses_goruntu,pozitif,negatif
oğlum için aldım çok memnun,fiyat,yok,pozitif
oğlum için aldım çok memnun,genel,pozitif,yok
Çok memnunum. Çok teşekkür ediyorum. 💻🙏🏻,genel,pozitif,pozitif
çok beğendim. apple bilgisayar için son derece ekonomik ve kullanışlı bir bilgisayar...,fiyat,pozitif,pozitif
çok beğendim. apple bilgisayar için son derece ekonomik ve kullanışlı bir bilgisayar...,genel,pozitif,yok
"Mükemmel, renk güzel,kargo hızlıydı teşekkürler",kargo,pozitif,pozitif
"Mükemmel, renk güzel,kargo hızlıydı teşekkürler",ses_goruntu,yok,pozitif
"Mükemmel, renk güzel,kargo hızlıydı teşekkürler",genel,pozitif,yok
gayet güzel bir şekilde elimize geçti.ambalj paketi güzel di,kargo,pozitif,yok
gayet güzel bir şekilde elimize geçti.ambalj paketi güzel di,ambalaj,pozitif,pozitif
MacBook kalitesi harika,kalite,pozitif,pozitif
Sorunsuz bir şekilde elimize ulaştı teşekkürler trendyol,kargo,pozitif,pozitif
Mükemmel düşünmeden alın çok güzel bir ürün kendime aldım her şeyi yapabilirsiniz bu macbookta harika,fiyat,yok,pozitif
Mükemmel düşünmeden alın çok güzel bir ürün kendime aldım her şeyi yapabilirsiniz bu macbookta harika,genel,pozitif,yok
Hızlı ve ambalajı sağlam sıkıntısız bir şekilde geldi ve memnunum,kargo,pozitif,pozitif
Hızlı ve ambalajı sağlam sıkıntısız bir şekilde geldi ve memnunum,ambalaj,pozitif,pozitif
Hızlı ve ambalajı sağlam sıkıntısız bir şekilde geldi ve memnunum,genel,pozitif,yok
yaptığım ilk şey sims yüklemek oldu çok hızlı fan sesi çıkaran 30 kilo eski bilgisayarımdan sonra çok iyi geldi,kargo,yok,pozitif
yaptığım ilk şey sims yüklemek oldu çok hızlı fan sesi çıkaran 30 kilo eski bilgisayarımdan sonra çok iyi geldi,ses_goruntu,yok,pozitif
yaptığım ilk şey sims yüklemek oldu çok hızlı fan sesi çıkaran 30 kilo eski bilgisayarımdan sonra çok iyi geldi,genel,pozitif,yok
Ürünü zaten anlatmaya gerek yok satıcıya da çok teşekkürler paketleme kargo çok iyiydi,kargo,pozitif,pozitif
Ürünü zaten anlatmaya gerek yok satıcıya da çok teşekkürler paketleme kargo çok iyiydi,ambalaj,pozitif,pozitif
Ürünü zaten anlatmaya gerek yok satıcıya da çok teşekkürler paketleme kargo çok iyiydi,genel,pozitif,yok
Ürün paketlemesi çok güzel ve problemsiz geldi 👍,kargo,pozitif,pozitif
Ürün paketlemesi çok güzel ve problemsiz geldi 👍,ambalaj,pozitif,pozitif
çok incecik ve çok kullanışlı zamanında teslimat teşekurler,kargo,pozitif,pozitif
çok incecik ve çok kullanışlı zamanında teslimat teşekurler,genel,pozitif,yok
Alalı 2 hafta oldu.Şimdilik memnunum.Kullanımı kolay.Korunaklı bir şekilde geldi.Şarjı fulltime kullanmıyorsanız epey uzun süre gidiyor.Isınmıyor ve ses yapmıyo,kargo,pozitif,pozitif
Alalı 2 hafta oldu.Şimdilik memnunum.Kullanımı kolay.Korunaklı bir şekilde geldi.Şarjı fulltime kullanmıyorsanız epey uzun süre gidiyor.Isınmıyor ve ses yapmıyo,batarya,pozitif,pozitif
Alalı 2 hafta oldu.Şimdilik memnunum.Kullanımı kolay.Korunaklı bir şekilde geldi.Şarjı fulltime kullanmıyorsanız epey uzun süre gidiyor.Isınmıyor ve ses yapmıyo,ses_goruntu,pozitif,negatif
Alalı 2 hafta oldu.Şimdilik memnunum.Kullanımı kolay.Korunaklı bir şekilde geldi.Şarjı fulltime kullanmıyorsanız epey uzun süre gidiyor.Isınmıyor ve ses yapmıyo,genel,pozitif,pozitif
uzun araştırmalar sonucunda bu bilgisayarı almaya karar verdim.çok memnunum...,genel,pozitif,pozitif
Kızım ses vs görüntü kalitesinin çok iyi olduğunu söyledi tavsiye ediyoruz 👏😍,kalite,yok,pozitif
Kızım ses vs görüntü kalitesinin çok iyi olduğunu söyledi tavsiye ediyoruz 👏😍,ses_goruntu,pozitif,pozitif
Gayet güvenilir ve uygun fiyatlı aldım 10 aydır kullanıyorum teşekkürler,fiyat,pozitif,pozitif
Gayet güvenilir ve uygun fiyatlı aldım 10 aydır kullanıyorum teşekkürler,genel,pozitif,yok
Sorunsuz geldii çok hoşş 🥰,kargo,pozitif,pozitif
Sorunsuz geldii çok hoşş 🥰,genel,pozitif,yok
Paketlemesi çok iyiydi garanti sorgulamasını direkt apple müşteri hizmetleriyle yaptım teşekkürler,ambalaj,pozitif,pozitif
Paketlemesi çok iyiydi garanti sorgulamasını direkt apple müşteri hizmetleriyle yaptım teşekkürler,genel,pozitif,yok
Elime sorunsuz ulaştı kargo hızlı teşekkürler Trendyol,kargo,pozitif,pozitif
Paketlemesini çok iyiydi sorunsuz elime ulaştı çok tereddütt etmiştim...,kargo,pozitif,pozitif
Paketlemesini çok iyiydi sorunsuz elime ulaştı çok tereddütt etmiştim...,ambalaj,pozitif,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,kargo,pozitif,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,fiyat,yok,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,ambalaj,pozitif,pozitif
paketleme çok iyiydi. verdiği tarihten de önce geldi. çok memnun kaldım tavsiye ederim,genel,pozitif,yok
aşırı güzel apple kalitesini hicbir seye değişmem ben bi sıkıntı yasamadım garanti konusunda vs sadece dizi ve video izlemek icin kullanıyorum,kalite,pozitif,pozitif
aşırı güzel apple kalitesini hicbir seye değişmem ben bi sıkıntı yasamadım garanti konusunda vs sadece dizi ve video izlemek icin kullanıyorum,ses_goruntu,yok,pozitif
aşırı güzel apple kalitesini hicbir seye değişmem ben bi sıkıntı yasamadım garanti konusunda vs sadece dizi ve video izlemek icin kullanıyorum,genel,pozitif,yok
kısa sürede elime ulaştı çok memnunum,kargo,pozitif,pozitif
kısa sürede elime ulaştı çok memnunum,genel,pozitif,yok
çok güzel paketlenmişti 2 günde elimde oldu satıcıya teşekkürler,kargo,pozitif,yok
çok güzel paketlenmişti 2 günde elimde oldu satıcıya teşekkürler,ambalaj,pozitif,pozitif
Hızlı ve eksiksiz ulaştı teşekkürler,kargo,pozitif,pozitif
çok kararsizdim ama yorumlara bakarak aldım uzay grisi rengi tam istediğim gibi geldi,kargo,yok,pozitif
çok kararsizdim ama yorumlara bakarak aldım uzay grisi rengi tam istediğim gibi geldi,fiyat,yok,pozitif
çok kararsizdim ama yorumlara bakarak aldım uzay grisi rengi tam istediğim gibi geldi,genel,pozitif,yok
apple kalitesi mükemmel şarj kullanım süresi de harika,kalite,pozitif,pozitif
apple kalitesi mükemmel şarj kullanım süresi de harika,batarya,pozitif,pozitif
Gayet güzel bir paketleme ile geldi tercih edebilirsiniz,kargo,yok,pozitif
Gayet güzel bir paketleme ile geldi tercih edebilirsiniz,ambalaj,pozitif,pozitif
Çok begendim ince kullanışlı kesinlikle alın kaliteli,kalite,pozitif,pozitif
Çok begendim ince kullanışlı kesinlikle alın kaliteli,genel,pozitif,yok
Ürün çok iyi paketlenmiş ve kaliteli bir ürün. Zamanında teslimi sağlandı...,kargo,pozitif,pozitif
Ürün çok iyi paketlenmiş ve kaliteli bir ürün. Zamanında teslimi sağlandı...,kalite,pozitif,pozitif
Ürün çok iyi paketlenmiş ve kaliteli bir ürün. Zamanında teslimi sağlandı...,ambalaj,pozitif,pozitif
"ben ofis ve okul için aldım, özellikle şarjı çok iyi gidiyor",fiyat,yok,pozitif
"ben ofis ve okul için aldım, özellikle şarjı çok iyi gidiyor",batarya,pozitif,pozitif
Apple kalitesi zaten bildiğimiz bir şey pil saati çok iyi benim gibi ders çalışanlar için sürekli prizde kullanmayıp her yere götürebilmek çok avantaj,kalite,pozitif,pozitif
Apple kalitesi zaten bildiğimiz bir şey pil saati çok iyi benim gibi ders çalışanlar için sürekli prizde kullanmayıp her yere götürebilmek çok avantaj,batarya,pozitif,pozitif
severek kullanıyorum teşekkürlerr,genel,pozitif,pozitif
çok kullanışlı kalite çok begendim aşırı iyi,kalite,pozitif,pozitif
çok kullanışlı kalite çok begendim aşırı iyi,genel,pozitif,yok
Ürün çok başarılı akademi için çok uygun 💕,fiyat,yok,pozitif
Ürün çok başarılı akademi için çok uygun 💕,genel,pozitif,yok
Kutusunda çok güzel geldi ve orjinal çok teşekkürler trendyol💐,kargo,yok,pozitif
Kutusunda çok güzel geldi ve orjinal çok teşekkürler trendyol💐,ambalaj,pozitif,pozitif
Kutusunda çok güzel geldi ve orjinal çok teşekkürler trendyol💐,genel,pozitif,yok
Sorunsuz alışveriş. Laptop zaten mükemmel.,genel,pozitif,pozitif
Ablama doğum günü hediyesi olarak aldım çok mutlu oldu sorunsuz geldi paketleme güzeldi,kargo,pozitif,pozitif
Ablama doğum günü hediyesi olarak aldım çok mutlu oldu sorunsuz geldi paketleme güzeldi,fiyat,yok,pozitif
Ablama doğum günü hediyesi olarak aldım çok mutlu oldu sorunsuz geldi paketleme güzeldi,ambalaj,pozitif,pozitif
bayıldım çok güzel uzun zamandır istiyordum çok iyi paketlenmişti hiçbir hasar yoktu bütün belgeleri faturaları içindeydi kurulumu da gayet basitti öğrenciyim y,ambalaj,pozitif,pozitif
bayıldım çok güzel uzun zamandır istiyordum çok iyi paketlenmişti hiçbir hasar yoktu bütün belgeleri faturaları içindeydi kurulumu da gayet basitti öğrenciyim y,genel,pozitif,yok
🍏Severek kullanıyoruz.,genel,pozitif,pozitif
güzel ürün sorunsuzdu güzel paketlenmisti,ambalaj,pozitif,pozitif
güzel ürün sorunsuzdu güzel paketlenmisti,genel,pozitif,yok
Elime sorunsuz ulaştı hızlı kargo ve paketlenmesi çok iyiydi,kargo,pozitif,pozitif
Elime sorunsuz ulaştı hızlı kargo ve paketlenmesi çok iyiydi,ambalaj,pozitif,pozitif
İlk defa MacBook kullanıyorum. Çok beğendim. Çok hızlı ve Premium hissettiriyor...,genel,pozitif,pozitif
Elime sorunsuz ulaştı paketlemesi de iyiydi teşekkürler,kargo,pozitif,pozitif
Elime sorunsuz ulaştı paketlemesi de iyiydi teşekkürler,ambalaj,pozitif,pozitif
"İlk apple bilgisayarım, piyasada 22k iken 18.5e aldım trendyol satıcısından...",fiyat,pozitif,pozitif
"İlk apple bilgisayarım, piyasada 22k iken 18.5e aldım trendyol satıcısından...",genel,pozitif,yok
everyone garantisinde sıkıntı yaşamış ama ben hiçbir şekilde sıkıntı yaşamadım...,genel,pozitif,pozitif
"Babamın özür hediyesiydi, paketleme iyiydi ürüne zaten diyecek bir şey yok çok güzel.",ambalaj,pozitif,pozitif
"Babamın özür hediyesiydi, paketleme iyiydi ürüne zaten diyecek bir şey yok çok güzel.",genel,pozitif,yok
Beğendim satıcının paketlemesi de iyiydi,ambalaj,pozitif,pozitif
Beğendim satıcının paketlemesi de iyiydi,genel,pozitif,yok
Çok memnunum şarjı uzun gidiyor ve sağlam. Fazla sekmelerde kasma olmuyor AMA microsofta alışmış biri olarak kullanımda çok zorlanıyorum...,kalite,pozitif,yok
Çok memnunum şarjı uzun gidiyor ve sağlam. Fazla sekmelerde kasma olmuyor AMA microsofta alışmış biri olarak kullanımda çok zorlanıyorum...,batarya,pozitif,pozitif
Çok memnunum şarjı uzun gidiyor ve sağlam. Fazla sekmelerde kasma olmuyor AMA microsofta alışmış biri olarak kullanımda çok zorlanıyorum...,genel,notr,yok
Hayatımda aldığım en en doğru karar mac almakkk çok memnunummm,genel,pozitif,pozitif
En uygun buradaydi. Ancak garanti tarihi eylülde almama ragmen...,fiyat,pozitif,pozitif
En uygun buradaydi. Ancak garanti tarihi eylülde almama ragmen...,genel,negatif,negatif
Sorunsuz ve sağlam bir şekilde geldi paketleme gayet güzeldi,kargo,pozitif,pozitif
Sorunsuz ve sağlam bir şekilde geldi paketleme gayet güzeldi,ambalaj,pozitif,pozitif
Çok iyi oğluma aldım,fiyat,yok,pozitif
Çok iyi oğluma aldım,genel,pozitif,yok
Hasarsız mükemmel paketleme ile geldi,kargo,pozitif,pozitif
Hasarsız mükemmel paketleme ile geldi,ambalaj,pozitif,pozitif
Çok iyi ve kullanışlı bir ürün,genel,pozitif,pozitif
O kadar güzel kiii çok memnunumm,genel,pozitif,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,kargo,pozitif,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,kalite,yok,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,ses_goruntu,pozitif,pozitif
Bayıldımm küçük hafif ses kalitesi görüntü kalitesi harika 💖💖💖 kargo da çok özenli ve hızlıydı,genel,pozitif,yok
Ürün gayet güzel ses kalitesi ve şarj durumu özellikle uygulamaları da gayet hızlı açıyor,kalite,yok,pozitif
Ürün gayet güzel ses kalitesi ve şarj durumu özellikle uygulamaları da gayet hızlı açıyor,batarya,pozitif,pozitif
Ürün gayet güzel ses kalitesi ve şarj durumu özellikle uygulamaları da gayet hızlı açıyor,ses_goruntu,pozitif,pozitif
Ürün gayet güzel ses kalitesi ve şarj durumu özellikle uygulamaları da gayet hızlı açıyor,genel,pozitif,yok
çok memnunum,genel,pozitif,pozitif
Gayet sağlam ve çabuk ulaştı elime. Çok memnunum,kargo,pozitif,pozitif
Gayet sağlam ve çabuk ulaştı elime. Çok memnunum,kalite,pozitif,yok
Gayet sağlam ve çabuk ulaştı elime. Çok memnunum,genel,pozitif,pozitif
Ürün gayet iyi çok güzel geldi :),kargo,pozitif,pozitif
Ürün gayet iyi çok güzel geldi :),genel,pozitif,yok
Harika bir ürün çok tereddüt ederek almıştım. satıcı çok hızlı ve güzel paketlemişti...,kargo,pozitif,yok
Harika bir ürün çok tereddüt ederek almıştım. satıcı çok hızlı ve güzel paketlemişti...,ambalaj,pozitif,pozitif
Harika bir ürün çok tereddüt ederek almıştım. satıcı çok hızlı ve güzel paketlemişti...,genel,pozitif,pozitif
üründen çok memnunum,genel,pozitif,pozitif
Muazzam bir ürün trendyoldan en uygun fiyata aldım sorgulattım ürün orijinal bir sıkıntısı yok çok beğendim,fiyat,pozitif,pozitif
Muazzam bir ürün trendyoldan en uygun fiyata aldım sorgulattım ürün orijinal bir sıkıntısı yok çok beğendim,genel,pozitif,yok
Hızlı ve sorunsuz ulaştı,kargo,pozitif,pozitif
aşığımmm bilgisayarıma inanılmaz rahat,genel,pozitif,pozitif
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",kargo,yok,negatif
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",batarya,negatif,negatif
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",ambalaj,pozitif,yok
"yanlış ürün gönderildi, şarj aleti de orjinal gibi durmuyor emin değilim...",genel,negatif,yok
Sadece internette gezmek için alacaksanız alın. Herhangi bir program yüklenemiyor...,genel,notr,notr
hiç begenmedim çok yavas zaten açıp kurarken anlamalıydım sayı tuşları çalışmıyo...,kalite,negatif,yok
hiç begenmedim çok yavas zaten açıp kurarken anlamalıydım sayı tuşları çalışmıyo...,genel,negatif,negatif
berbst kağnı,genel,negatif,negatif
arkadaşlar ürün bozuk geri gönderdim gene bana gönderdiler...,kalite,negatif,yok
arkadaşlar ürün bozuk geri gönderdim gene bana gönderdiler...,genel,negatif,negatif
ürünü aldım ama işlemci düşük sadece ofis işleri için idare eder.,fiyat,yok,notr
ürünü aldım ama işlemci düşük sadece ofis işleri için idare eder.,genel,notr,yok
"google de sekmeler açtığınızda birden cok , hemen kasıyor...",genel,negatif,negatif
Kullanılmış bilgisayar gönderdiler bana başkası adına şifreli hemde...,genel,negatif,negatif
Hiçbir şekilde güvenli değil bu site indirimde aldığım ürün kargolandı ama iptal ettiler...,kargo,yok,negatif
Hiçbir şekilde güvenli değil bu site indirimde aldığım ürün kargolandı ama iptal ettiler...,fiyat,yok,notr
Hiçbir şekilde güvenli değil bu site indirimde aldığım ürün kargolandı ama iptal ettiler...,genel,negatif,yok
"Açılmiş sonradan paketlenmiş bilgisayar gönderdiler, laptop'un üstünde çizik vardı...",kalite,negatif,yok
"Açılmiş sonradan paketlenmiş bilgisayar gönderdiler, laptop'un üstünde çizik vardı...",ambalaj,negatif,negatif
kesinlikle uzak durun almayın aldırmayın aynı anda iki işlemi birden yapamıyorsunuz...,genel,negatif,negatif
EKRANDA ARADA BİR  DALGALANMALI PİKSELLEŞME VAR...,ses_goruntu,negatif,negatif
EKRANDA ARADA BİR  DALGALANMALI PİKSELLEŞME VAR...,genel,negatif,yok
"Bana daha önce kullanılmış, kurulumu yapılmış ikinci el bilgisayar gönderdiler...",kalite,yok,negatif
"Bana daha önce kullanılmış, kurulumu yapılmış ikinci el bilgisayar gönderdiler...",genel,negatif,yok
ürünü satıyorlar ürün arızalandıktan sonra kesinlikle ilgi alaka sıfır...,genel,negatif,negatif
Arızalı ve kullanılmış geldi iade ettim...,kargo,yok,negatif
Arızalı ve kullanılmış geldi iade ettim...,kalite,negatif,yok
Arızalı ve kullanılmış geldi iade ettim...,genel,negatif,yok
Aldıktan 1 gün sonra 1000tl indirime girmesi canımı sıktı,fiyat,negatif,negatif
Windows 11 kurulu şekilde gelmedi ayrıca görüntü kalitesi ciddi anlamda kötü iade edeceğim,kalite,yok,negatif
Windows 11 kurulu şekilde gelmedi ayrıca görüntü kalitesi ciddi anlamda kötü iade edeceğim,ses_goruntu,negatif,negatif
Windows 11 kurulu şekilde gelmedi ayrıca görüntü kalitesi ciddi anlamda kötü iade edeceğim,genel,negatif,yok
bilgisayar çok aşırı yavaş. hiç bişey indirmememe  rağmen.,genel,negatif,negatif
Sayı tuşları basılı kalıyordu o yüzden iade...,kalite,negatif,yok
Sayı tuşları basılı kalıyordu o yüzden iade...,fiyat,negatif,yok
Sayı tuşları basılı kalıyordu o yüzden iade...,genel,yok,negatif
